SALES_ID;SALES_REP;EMAILS;BRANDS;DRINK TYPE;PLANT_COST;UNIT_PRICE;QUANTITY;COST;PROFIT;COUNTRIES;REGION ;TERRITORY;MONTHS;YEARS
10172;Jones;jone.ai@yahoo.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;869,00; ? 434 500,00 ; ? 217 250,00 ;Nigeria;northcentral ;Anglophone;December;2018
10173;Morgan;morganny@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;727,00; ? 327 150,00 ; ? 196 290,00 ;Togo;Southeast;Francophone;January;2019
10174;Kivell;kivel_go@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;833,00; ? 208 250,00 ; ? 66 640,00 ;Benin;west;Francophone;February;2018
10175;Sorvino;sorvi2000@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;974,00; ? 194 800,00 ; ? 48 700,00 ;Senegal;southsouth;Anglophone;March;2018
10176;Gill;gillhell@uk.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;713,00; ? 106 950,00 ; ? 49 910,00 ;Ghana;northwest;Anglophone;April;2017
10177;Sorvino;sorvi2000@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;729,00; ? 109 350,00 ; ? 43 740,00 ;Nigeria;northeast ;Anglophone;May;2017
10178;Thompson;thomp@uk.com;trophy;Beer; ? 150,00 ; ? 200,00 ;946,00; ? 189 200,00 ; ? 47 300,00 ;Togo;northcentral ;Francophone;June;2019
10179;Andrews;andy@gmail.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;739,00; ? 369 500,00 ; ? 184 750,00 ;Benin;Southeast;Francophone;July;2017
10180;Jardine;jard@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;795,00; ? 357 750,00 ; ? 214 650,00 ;Senegal;west;Anglophone;August;2019
10181;Jardine;jard@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;701,00; ? 175 250,00 ; ? 56 080,00 ;Ghana;southsouth;Anglophone;September;2018
10182;Andrews;andy@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;773,00; ? 154 600,00 ; ? 38 650,00 ;Nigeria;northwest;Anglophone;October;2019
10183;Jones;jone.ai@yahoo.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;801,00; ? 120 150,00 ; ? 56 070,00 ;Togo;northeast ;Francophone;November;2018
10184;Morgan;morganny@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;892,00; ? 133 800,00 ; ? 53 520,00 ;Benin;northcentral ;Francophone;December;2017
10185;Kivell;kivel_go@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;739,00; ? 147 800,00 ; ? 36 950,00 ;Senegal;Southeast;Anglophone;January;2018
10186;Sorvino;sorvi2000@gmail.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;704,00; ? 352 000,00 ; ? 176 000,00 ;Ghana;west;Anglophone;February;2018
10187;Gill;gillhell@uk.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;879,00; ? 395 550,00 ; ? 237 330,00 ;Nigeria;southsouth;Anglophone;March;2018
10188;Sorvino;sorvi2000@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;993,00; ? 248 250,00 ; ? 79 440,00 ;Togo;northwest;Francophone;April;2017
10189;Thompson;thomp@uk.com;hero;Beer; ? 150,00 ; ? 200,00 ;820,00; ? 164 000,00 ; ? 41 000,00 ;Benin;northeast ;Francophone;May;2018
10190;Andrews;andy@gmail.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;869,00; ? 130 350,00 ; ? 60 830,00 ;Senegal;northcentral ;Anglophone;June;2018
10191;Jardine;jard@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;902,00; ? 135 300,00 ; ? 54 120,00 ;Ghana;Southeast;Anglophone;July;2019
10192;Jardine;jard@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;981,00; ? 196 200,00 ; ? 49 050,00 ;Nigeria;west;Anglophone;August;2019
10193;Andrews;andy@gmail.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;722,00; ? 361 000,00 ; ? 180 500,00 ;Togo;southsouth;Francophone;September;2017
10194;Jardine;jard@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;849,00; ? 382 050,00 ; ? 229 230,00 ;Benin;northwest;Francophone;October;2017
10195;Gill;gillhell@uk.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;910,00; ? 227 500,00 ; ? 72 800,00 ;Senegal;northeast ;Anglophone;November;2019
10196;Sorvino;sorvi2000@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;959,00; ? 191 800,00 ; ? 47 950,00 ;Ghana;northcentral ;Anglophone;December;2018
10197;Jones;jone.ai@yahoo.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;896,00; ? 134 400,00 ; ? 62 720,00 ;Nigeria;Southeast;Anglophone;January;2019
10198;Andrews;andy@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;856,00; ? 128 400,00 ; ? 51 360,00 ;Togo;west;Francophone;February;2017
10199;Jardine;jard@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;817,00; ? 163 400,00 ; ? 40 850,00 ;Benin;southsouth;Francophone;March;2017
10200;Thompson;thomp@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;729,00; ? 364 500,00 ; ? 182 250,00 ;Senegal;northwest;Anglophone;April;2017
10201;Jones;jone.ai@yahoo.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;805,00; ? 362 250,00 ; ? 217 350,00 ;Ghana;northeast ;Anglophone;May;2017
10202;Morgan;morganny@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;828,00; ? 207 000,00 ; ? 66 240,00 ;Nigeria;northcentral ;Anglophone;June;2019
10203;Howard;howard_freeman@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;990,00; ? 198 000,00 ; ? 49 500,00 ;Togo;Southeast;Francophone;July;2019
10204;Parent;parentty@uk.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;831,00; ? 124 650,00 ; ? 58 170,00 ;Benin;west;Francophone;August;2017
10205;Jones;jone.ai@yahoo.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;903,00; ? 135 450,00 ; ? 54 180,00 ;Senegal;southsouth;Anglophone;September;2019
10206;Smith;smithMan@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;751,00; ? 150 200,00 ; ? 37 550,00 ;Ghana;northwest;Anglophone;October;2017
10207;Jones;jone.ai@yahoo.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;990,00; ? 495 000,00 ; ? 247 500,00 ;Nigeria;northeast ;Anglophone;November;2019
10208;Jardine;jard@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;878,00; ? 395 100,00 ; ? 237 060,00 ;Togo;northcentral ;Francophone;December;2018
10209;Gill;gillhell@uk.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;720,00; ? 180 000,00 ; ? 57 600,00 ;Benin;Southeast;Francophone;January;2017
10210;Sorvino;sorvi2000@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;777,00; ? 155 400,00 ; ? 38 850,00 ;Senegal;west;Anglophone;February;2017
10211;Jones;jone.ai@yahoo.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;848,00; ? 127 200,00 ; ? 59 360,00 ;Ghana;southsouth;Anglophone;March;2019
10212;Andrews;andy@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;874,00; ? 131 100,00 ; ? 52 440,00 ;Nigeria;northwest;Anglophone;April;2017
10213;Jardine;jard@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;739,00; ? 147 800,00 ; ? 36 950,00 ;Togo;northeast ;Francophone;May;2017
10214;Thompson;thomp@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;704,00; ? 352 000,00 ; ? 176 000,00 ;Benin;northcentral ;Francophone;June;2018
10215;Jones;jone.ai@yahoo.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;855,00; ? 384 750,00 ; ? 230 850,00 ;Senegal;Southeast;Anglophone;July;2019
10216;Morgan;morganny@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;971,00; ? 242 750,00 ; ? 77 680,00 ;Ghana;west;Anglophone;August;2018
10217;Howard;howard_freeman@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;957,00; ? 191 400,00 ; ? 47 850,00 ;Nigeria;southsouth;Anglophone;September;2019
10218;Parent;parentty@uk.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;769,00; ? 115 350,00 ; ? 53 830,00 ;Togo;northwest;Francophone;October;2017
10219;Jones;jone.ai@yahoo.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;710,00; ? 106 500,00 ; ? 42 600,00 ;Benin;northeast ;Francophone;November;2019
10220;Smith;smithMan@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;917,00; ? 183 400,00 ; ? 45 850,00 ;Senegal;northcentral ;Anglophone;December;2019
10221;Jones;jone.ai@yahoo.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;727,00; ? 363 500,00 ; ? 181 750,00 ;Ghana;Southeast;Anglophone;January;2017
10222;Morgan;morganny@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;768,00; ? 345 600,00 ; ? 207 360,00 ;Nigeria;west;Anglophone;February;2018
10223;Jones;jone.ai@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;870,00; ? 217 500,00 ; ? 69 600,00 ;Togo;southsouth;Francophone;March;2019
10224;Parent;parentty@uk.com;hero;Beer; ? 150,00 ; ? 200,00 ;914,00; ? 182 800,00 ; ? 45 700,00 ;Benin;northwest;Francophone;April;2019
10225;Kivell;kivel_go@yahoo.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;763,00; ? 114 450,00 ; ? 53 410,00 ;Senegal;northeast ;Anglophone;May;2019
10226;Smith;smithMan@yahoo.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;951,00; ? 142 650,00 ; ? 57 060,00 ;Ghana;northcentral ;Anglophone;June;2017
10227;Parent;parentty@uk.com;trophy;Beer; ? 150,00 ; ? 200,00 ;810,00; ? 162 000,00 ; ? 40 500,00 ;Nigeria;Southeast;Anglophone;July;2018
10228;Gill;gillhell@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;886,00; ? 443 000,00 ; ? 221 500,00 ;Togo;west;Francophone;August;2019
10229;Smith;smithMan@yahoo.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;984,00; ? 442 800,00 ; ? 265 680,00 ;Benin;southsouth;Francophone;September;2018
10230;Jones;jone.ai@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;974,00; ? 243 500,00 ; ? 77 920,00 ;Senegal;northwest;Anglophone;October;2017
10231;Sorvino;sorvi2000@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;901,00; ? 180 200,00 ; ? 45 050,00 ;Ghana;northeast ;Anglophone;November;2019
10232;Jardine;jard@gmail.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;934,00; ? 140 100,00 ; ? 65 380,00 ;Nigeria;northcentral ;Anglophone;December;2019
10233;Andrews;andy@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;832,00; ? 124 800,00 ; ? 49 920,00 ;Togo;Southeast;Francophone;January;2017
10234;Howard;howard_freeman@yahoo.com;trophy;Beer; ? 150,00 ; ? 200,00 ;840,00; ? 168 000,00 ; ? 42 000,00 ;Benin;west;Francophone;February;2018
10235;Gill;gillhell@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;966,00; ? 483 000,00 ; ? 241 500,00 ;Senegal;southsouth;Anglophone;March;2017
10236;Gill;gillhell@uk.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;832,00; ? 374 400,00 ; ? 224 640,00 ;Ghana;northwest;Anglophone;April;2018
10237;Kivell;kivel_go@yahoo.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;968,00; ? 242 000,00 ; ? 77 440,00 ;Nigeria;northeast ;Anglophone;May;2019
10238;Jones;jone.ai@yahoo.com;hero;Beer; ? 150,00 ; ? 200,00 ;791,00; ? 158 200,00 ; ? 39 550,00 ;Togo;northcentral ;Francophone;June;2019
10239;Morgan;morganny@gmail.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;774,00; ? 116 100,00 ; ? 54 180,00 ;Benin;Southeast;Francophone;July;2018
10240;Kivell;kivel_go@yahoo.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;992,00; ? 148 800,00 ; ? 59 520,00 ;Senegal;west;Anglophone;August;2017
10241;Sorvino;sorvi2000@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;881,00; ? 176 200,00 ; ? 44 050,00 ;Ghana;southsouth;Anglophone;September;2018
10242;Gill;gillhell@uk.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;975,00; ? 487 500,00 ; ? 243 750,00 ;Nigeria;northwest;Anglophone;October;2017
10243;Sorvino;sorvi2000@gmail.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;733,00; ? 329 850,00 ; ? 197 910,00 ;Togo;northeast ;Francophone;November;2018
10244;Thompson;thomp@uk.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;776,00; ? 194 000,00 ; ? 62 080,00 ;Benin;northcentral ;Francophone;December;2017
10245;Andrews;andy@gmail.com;hero;Beer; ? 150,00 ; ? 200,00 ;924,00; ? 184 800,00 ; ? 46 200,00 ;Senegal;Southeast;Anglophone;January;2019
10246;Jardine;jard@gmail.com;beta malt;Malt; ? 80,00 ; ? 150,00 ;744,00; ? 111 600,00 ; ? 52 080,00 ;Ghana;west;Anglophone;February;2019
10247;Jardine;jard@gmail.com;grand malt;Malt; ? 90,00 ; ? 150,00 ;754,00; ? 113 100,00 ; ? 45 240,00 ;Nigeria;southsouth;Anglophone;March;2019
10248;Andrews;andy@gmail.com;trophy;Beer; ? 150,00 ; ? 200,00 ;792,00; ? 158 400,00 ; ? 39 600,00 ;Togo;northwest;Francophone;April;2019
10249;Jardine;jard@gmail.com;budweiser;Beer; ? 250,00 ; ? 500,00 ;838,00; ? 419 000,00 ; ? 209 500,00 ;Benin;northeast ;Francophone;May;2017
10250;Gill;gillhell@uk.com;castle lite;Beer; ? 180,00 ; ? 450,00 ;963,00; ? 433 350,00 ; ? 260 010,00 ;Senegal;northcentral ;Anglophone;June;2017
10251;Sorvino;sorvi2000@gmail.com;eagle lager;Beer; ? 170,00 ; ? 250,00 ;995,00; ? 248 750,00 ; ? 79 600,00 ;Ghana;Southeast;Anglophone;July;2017
